법정동,위험요인그룹,shap_value
강북구_수유동,침수,-0.03444045740523678
강북구_수유동,지하 공사,-0.09983475445803947
강북구_수유동,하수관,0.5839796167555292
강북구_수유동,지하시설물,0.40346555498726694
강북구_우이동,지반,-0.6176329428462841
강북구_우이동,침수,-0.012858717135267603
강북구_우이동,지하 공사,-0.18503743236958223
강북구_우이동,하수관,0.40042964716844026
강북구_우이동,지하시설물,-0.3500697572977473
강서구_가양동,지반,0.2523267592528284
강서구_가양동,침수,-0.009835270652711139
강서구_가양동,지하 공사,0.4046156676990087
강서구_가양동,하수관,1.0117884797080618
강서구_가양동,지하시설물,-0.2751793319609265
강서구_개화동,지반,0.23381403681763496
강서구_개화동,침수,-0.001784104498560781
강서구_개화동,지하 공사,-0.22893964936395686
강서구_개화동,하수관,1.24568043857516
